timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1649846699232,6978,About,200,OK,Thread Group 1-17,text,true,,32686,125,14,14,https://lifecharger.org/about/,6137,0,0
1649846704520,1726,About,200,OK,Thread Group 1-28,text,true,,32676,125,13,13,https://lifecharger.org/about/,1386,0,0
1649846704570,1768,About,200,OK,Thread Group 1-27,text,true,,32676,125,12,12,https://lifecharger.org/about/,1467,0,0
1649846705186,1291,About,200,OK,Thread Group 1-34,text,true,,32676,125,11,11,https://lifecharger.org/about/,959,0,0
1649846698351,8126,archive,200,OK,Thread Group 1-36,text,true,,53938,128,11,11,https://lifecharger.org/archives/,6632,0,0
1649846704779,1892,About,200,OK,Thread Group 1-29,text,true,,32681,125,10,10,https://lifecharger.org/about/,1302,0,0
1649846698844,7844,archive,200,OK,Thread Group 1-35,text,true,,53933,128,9,9,https://lifecharger.org/archives/,7243,0,0
1649846705258,1473,About,200,OK,Thread Group 1-37,text,true,,32676,125,9,9,https://lifecharger.org/about/,843,0,0
1649846705258,1495,About,200,OK,Thread Group 1-39,text,true,,32681,125,8,8,https://lifecharger.org/about/,1239,0,0
1649846698524,8311,archive,200,OK,Thread Group 1-38,text,true,,53933,128,7,7,https://lifecharger.org/archives/,7460,0,0
1649846698786,8074,archive,200,OK,Thread Group 1-40,text,true,,53943,128,7,7,https://lifecharger.org/archives/,7278,0,0
1649846705688,1185,About,200,OK,Thread Group 1-33,text,true,,32676,125,7,7,https://lifecharger.org/about/,828,0,0
1649846696791,10211,archive,200,OK,Thread Group 1-31,text,true,,53933,128,6,6,https://lifecharger.org/archives/,8116,0,0
1649846696573,10894,archive,200,OK,Thread Group 1-32,text,true,,53933,128,6,6,https://lifecharger.org/archives/,9342,0,0
1649846706688,846,About,200,OK,Thread Group 1-35,text,true,,32676,125,6,6,https://lifecharger.org/about/,497,0,0
1649846706861,800,About,200,OK,Thread Group 1-40,text,true,,32676,125,5,5,https://lifecharger.org/about/,528,0,0
1649846706835,1088,About,200,OK,Thread Group 1-38,text,true,,32681,125,4,4,https://lifecharger.org/about/,539,0,0
1649846706477,1566,About,200,OK,Thread Group 1-36,text,true,,32676,125,3,3,https://lifecharger.org/about/,821,0,0
1649846707002,1605,About,200,OK,Thread Group 1-31,text,true,,32686,125,2,2,https://lifecharger.org/about/,779,0,0
1649846707467,1405,About,200,OK,Thread Group 1-32,text,true,,32676,125,1,1,https://lifecharger.org/about/,769,0,0
